stock_no,certificate_no,lab,Certificate,shape,size,color,clarity,cut,polish,symmetry,fluorescence,rap,discount,pr_ct,total_price,measurements,total_depth,table,link,key_to_symbols
F110A106778,1313174605,GIA,View Cert,ROUND,10.21,J,SI2,EX,EX,EX,NON,23000,-28,16560,169077.6,13.82*13.75*8.64,62.7,56,SEGOMA LINK,"Crystal, Feather, Needle"
F108A107576,350899221,IGI,View Cert,ROUND,10.01,H,VS2,EX,EX,VG,STG,48000,-55,21600,216216,13.61*13.69*8.6,62.9,57,SEGOMA LINK,
F109A107511,6315533624,GIA,View Cert,ROUND,7.01,G,VS2,EX,EX,EX,MED,39500,-28,28440,199364.4,12.2*12.16*7.68,63.1,57,SEGOMA LINK,"Crystal, Feather, Indented Natural"
G6B100618,1319753978,GIA,View Cert,ROUND,5.12,H,VS1,EX,EX,EX,STG,36500,-43,20805,106521.6,11.01*10.93*6.88,62.7,57,,Crystal
F110B106893,6312472039,GIA,View Cert,ROUND,5.03,F,VS1,EX,EX,EX,FNT,60000,-38,37200,187116,10.91*10.84*6.81,62.6,57,SEGOMA LINK,"Crystal, Feather, Needle"
G8300517,5316739685,GIA,View Cert,PEAR,5.02,F,VS2,,EX,EX,MED,38500,-35,25025,125625.5,14.82*9.6*6.06,63.2,59,,"Crystal, Feather, Cloud, Needle"
F108B107487,2316536327,GIA,View Cert,ROUND,5.01,G,SI2,EX,EX,EX,STG,22500,-43,12825,64253.25,11.17*11.12*6.6,59.2,61,SEGOMA LINK,"Crystal, Feather, Cavity, Natural"
F108C107512,7311533616,GIA,View Cert,ROUND,5.01,H,VS2,EX,EX,EX,STG,31000,-43,17670,88526.7,10.95*10.88*6.85,62.8,57,SEGOMA LINK,"Feather, Crystal, Needle, Pinpoint"
F109D307272,1317298043,GIA,View Cert,EMERALD,5.01,H,VS1,,EX,VG,NON,30500,-37,19215,96267.15,11.33*8.05*5.37,66.7,64,SEGOMA LINK,"Crystal, Feather, Needle, Pinpoint"
G7D100393,6311664871,GIA,View Cert,ROUND,5,I,VS1,EX,EX,VG,MED,29000,-40,17400,87000,10.94*10.9*6.78,62.1,56,SEGOMA LINK,"Crystal, Indented Natural, Needle, Natural"
F109E106780,7313664719,GIA,View Cert,ROUND,5,E,SI2,EX,EX,EX,MED,25000,-42,14500,72500,10.9*10.83*6.83,62.9,58,SEGOMA LINK,Crystal
G7B100379,6312664905,GIA,View Cert,ROUND,5,F,VVS2,EX,EX,EX,MED,67000,-44,37520,187600,11*10.93*6.8,62,59,SEGOMA LINK,"Pinpoint, Natural"
F91303280,350881465,IGI,View Cert,SQUARE MOD.,4.51,J,VS2,EX,EX,,VSL,13000,-42,7540,34005.4,8.95*8.9*6.55,73.6,69,SEGOMA LINK,
G7B100384,7311665057,GIA,View Cert,ROUND,4.09,F,VS1,EX,EX,EX,MED,42500,-43,24225,99080.25,10.33*10.28*6.27,60.8,59,SEGOMA LINK,"Crystal, Needle, Pinpoint"
F114318612,6315367714,GIA,View Cert,PEAR,4.01,D,VVS2,,EX,EX,NON,44000,-34,29040,116450.4,13.61*9.01*5.4,60,58,SEGOMA LINK,Needle
F71131008,6292608215,GIA,View Cert,ROUND,3.7,I,VS1,EX,EX,EX,NON,17500,-25,13125,48562.5,9.84*9.78*6.18,63,57,,"Cloud, Feather, Indented Natural"
F71130895,324885850,IGI,View Cert,ROUND,3.63,H,SI1,EX,EX,EX,SLT,15000,-44,8400,30492,9.74*9.81*6.12,62.6,56.5,SEGOMA LINK,
1.80E+11,1.80E+11,HRD,1,ROUND,3.08,K,SI1,EX,EX,EX,NONE,9200,-38,5704,17568.32,9.29*9.35*5.74,61.5,59,Image/Video,
G11100693,1.90E+11,HRD,View Cert,ROUND,3.02,F,SI2,EX,EX,EX,MED,15500,-36,9920,29958.4,9.16*9.21*5.77,62.8,56,,
G6D300623,7311768733,GIA,View Cert,PEAR,3.02,J,VVS1,,EX,EX,STG,12000,-37,7560,22831.2,12.7*8.08*5.06,62.6,60,SEGOMA LINK,Pinpoint
AS1,341808172,IGI,View Cert,ROUND,3.01,N,SI1,EX,EX,EX,NONE,6800,-45,3740,11257.4,9.17*9.24*5.73,62.3,56.5,Image/Video,
HD-1,341807624,IGI,View Cert,ROUND,3.01,L,SI1,EX,EX,EX,SLIGHT,8000,-35,5200,15652,9.17-9.26*5.76,62.5,59,Image/Video,
G14A100519,6312739430,GIA,View Cert,ROUND,3,H,VS2,EX,EX,EX,MED,18500,-40,11100,33300,9.2*9.15*5.8,63.2,57,SEGOMA LINK,"Crystal, Feather, Indented Natural, Pinpoint, Natural"
F91104125,6305523334,GIA,View Cert,ROUND,3,H,VVS1,VG,EX,VG,NON,25000,-43,14250,42750,9.01*8.88*5.82,65.1,57,,Feather
F114318611,7313367725,GIA,View Cert,EMERALD,3,D,SI1,,EX,EX,STG,18000,-49,9180,27540,9.01*6.8*4.61,67.8,64,SEGOMA LINK,"Crystal, Cloud, Feather, Cavity, Needle"
F71331130,324817382,IGI,View Cert,HEART,3,H,SI2,,VG,VG,NON,10300,-49,5253,15759,9.16*9.86*5.56,56.4,57,SEGOMA LINK,
TI-1023,1189931761,GIA,View Cert,Heart,2.99,Fancy DeepYellow - Brown,SI1,,EX,G,S,2730,0,2730,8162.7,7.77x9.19x5.66,61.6,63,Image/Video,
F89304523,5303725112,GIA,View Cert,HEART,2.7,D,VS2,,EX,VG,FNT,15500,-49,7905,21343.5,8.89*9.51*5.52,58.1,57,SEGOMA LINK,"Crystal, Cloud, Feather, Needle"
TI-1018,2176391978,GIA,View Cert,Cushion Modified,2.51,FancyYellow,SI1,,VG,VG,M,3255,0,3255,8170.05,7.29x7.20x5.10,70.8,57,Image/Video,
F89304168,6302540284,GIA,View Cert,HEART,2.33,D,IF,,EX,VG,NON,24500,-37,15435,35963.55,8.1*9.29*5.4,58.1,59,SEGOMA LINK,
F103A107554,7316619655,GIA,View Cert,ROUND,2.21,F,SI1,EX,EX,EX,NON,13500,-24,10260,22674.6,8.35*8.31*5.23,62.8,56,SEGOMA LINK,"Crystal, Cloud, Feather, Needle"
LN-1,341807108,IGI,View Cert,ROUND,2.2,L,SI1,EX,EX,EX,NONE,5600,-36.1,3578.4,7872.48,8.32-8.38*5.02,60.1,62.5,Image/Video,
F103A107531,2318619665,GIA,View Cert,ROUND,2.17,G,SI2,EX,EX,EX,FNT,10000,-41,5900,12803,8.23*8.18*5.15,62.7,58,SEGOMA LINK,"Crystal, Feather, Pinpoint"
TI-1039,7308354189,GIA,View Cert,Cushion Modified,2.1,FancyYellow,VS1,,EX,VG,F,4620,0,4620,9702,7.06x6.83x4.75,69.6,53,Image/Video,
F89303734,6305384993,GIA,View Cert,OVAL,2.09,D,VS2,,EX,EX,MED,15500,-40,9300,19437,9.97*7.21*4.53,62.8,61,SEGOMA LINK,Crystal
F69331233,7291630487,GIA,View Cert,SQUARE MOD.,2.07,D,VS2,,EX,EX,NON,15500,-38,9610,19892.7,7*6.99*4.94,70.7,70,SEGOMA LINK,"Crystal, Feather, Cloud, Needle"
PPS-PR-01,6311518134,GIA,View Cert,ROUND,2.06,L,VVS2,EX,EX,EX,FAINT,7000,-23,5390,11103.4,8.24-8.29*4.98,60.3,59,Image/Video,
G2100200,7316548944,GIA,View Cert,ROUND,2.05,L,VS2,GD,EX,VG,STG,6000,-40,3600,7380,7.75*7.65*5.14,66.8,57,,"Cloud, Pinpoint"
F82101503,1295992015,GIA,View Cert,ROUND,2.03,F,SI1,GD,EX,VG,NON,13500,-50,6750,13702.5,7.81*7.71*5.07,65.4,55,,"Crystal, Feather"
F94303920,6301441243,GIA,View Cert,CUSHION MOD.,2.03,F,VS1,,EX,EX,NON,14000,-35,9100,18473,7.34*6.79*4.88,72,62,SEGOMA LINK,"Crystal, Cloud, Needle"
G2100302,7311598778,GIA,View Cert,ROUND,2.02,F,VS2,EX,EX,EX,STG,16500,-40,9900,19998,8.04*7.99*5.04,62.9,57,SEGOMA LINK,"Cloud, Crystal, Feather, Needle"
F94A304271,2306593173,GIA,View Cert,EMERALD,2.02,J,SI2,,EX,VG,NON,5700,-44,3192,6447.84,7.86*5.92*3.97,67,65,SEGOMA LINK,"Twinning Wisp, Cloud, Crystal, Natural"
F91304067,2304523439,GIA,View Cert,HEART,2.02,D,VVS1,,EX,EX,FNT,22000,-36,14080,28441.6,8.04*8.74*5.06,57.9,57,SEGOMA LINK,Needle
F114318618,1315367727,GIA,View Cert,HEART,2.02,F,VS2,,EX,EX,FNT,13000,-36,8320,16806.4,7.38*8.94*5.31,59.3,59,SEGOMA LINK,"Crystal, Feather"
F80301686,6302079754,GIA,View Cert,CUSHION MOD.,2.02,J,VVS2,,EX,EX,NON,6900,-45,3795,7665.9,7.13*6.83*4.98,72.9,66,SEGOMA LINK,"Cloud, Needle, Natural"
SPRL-346,324818121,IGI,View Cert,ROUND,2.01,J,VS1,EX,EX,EX,VERY SLIGHT,9000,-42,5220,10492.2,8.08*8.13*5.02,62.1,54.5,Image/Video,
B-4-220,7298811033,GIA,View Cert,PRINCESS,2.01,G,SI2,,EX,VG,NONE,8500,-48,4420,8884.2,6.64*6.31*5.28,83.6,68,Image/Video,
F91103677,6302905776,GIA,View Cert,ROUND,2.01,E,I1,GD,EX,VG,NON,6400,-40,3840,7718.4,7.79*7.69*5.15,66.5,63,,"Crystal, Feather, Cavity, Needle, Pinpoint, Indented Natural"
G2100299,7311619195,GIA,View Cert,ROUND,2.01,K,SI2,EX,EX,EX,STG,6000,-35,3900,7839,8.05*7.99*5.04,62.8,56,SEGOMA LINK,Crystal
F71331313,2294765722,GIA,View Cert,HEART,2.01,G,SI1,,EX,VG,NON,10500,-35,6825,13718.25,7.4*8.8*5.41,61.5,57,SEGOMA LINK,"Crystal, Cloud, Feather"
F109C306622,6312152181,GIA,View Cert,SQUARE MOD.,2.01,I,SI2,,EX,VG,NON,7000,-24,5320,10693.2,7.08*6.8*4.79,70.5,70,SEGOMA LINK,"Feather, Cavity, Indented Natural"
F82301430,6305000831,GIA,View Cert,CUSHION MOD.,2.01,F,VS2,,EX,EX,NON,13000,-44,7280,14632.8,7.07*6.89*4.82,70.1,65,SEGOMA LINK,"Crystal, Feather"
18030147,324815440,IGI,View Cert,ROUND,2,L,VVS1,EX,EX,VG,VERY SLIGHT,7500,-38,4650,9300,7.89*7.96*5.03,63.4,59,Image/Video,
AAA-2,314814731,IGI,View Cert,ROUND,2,J,VS1,EX,EX,VG,VERY SLIGHT,9000,-44,5040,10080,7.96*8.03*5.07,63.3,56,Image/Video,
JD-X-3,1313495395,GIA,View Cert,MARQUISE,2,D,VVS1,,EX,VG,NONE,22000,-43,12540,25080,13.40*6.47*4.03,62.3,52,Image/Video,
F89103979,5303478635,GIA,View Cert,ROUND,2,D,VVS2,EX,EX,VG,NON,29500,-44,16520,33040,8.04*7.95*5,62.5,57,SEGOMA LINK,Pinpoint
G2100315,5316619300,GIA,View Cert,ROUND,2,D,VS2,VG,VG,VG,STG,19500,-47,10335,20670,7.88*7.83*5.05,64.3,55,SEGOMA LINK,"Twinning Wisp, Feather, Indented Natural, Natural"
F91103341,1303287422,GIA,View Cert,ROUND,2,H,VVS1,VG,EX,VG,NON,16500,-42,9570,19140,7.89*7.78*5.08,64.9,61,SEGOMA LINK,"Cloud, Pinpoint"
G8300633,7311768775,GIA,View Cert,MARQUISE,2,E,VVS1,,EX,EX,MED,19000,-40,11400,22800,12.44*6.5*4.19,64.5,55,SEGOMA LINK,"Pinpoint, Feather"
F69129046,1297167444,GIA,View Cert,ROUND,2,E,VS2,VG,EX,GD,NON,18000,-48,9360,18720,7.86*7.79*5.04,64.4,57,SEGOMA LINK,"CRYSTAL, FEATHER, CAVITY, INDENTED NATURAL, NEEDLE, NATURAL, EXTRA FACET"
F94A104219,1303569948,GIA,View Cert,ROUND,2,E,SI1,VG,EX,VG,NON,14500,-42,8410,16820,7.85*7.74*5.06,64.9,57,SEGOMA LINK,"Feather, Crystal, Cloud, Pinpoint, Natural"
F94B104534,1309725497,GIA,View Cert,ROUND,2,F,SI1,GD,EX,VG,FNT,13500,-50,6750,13500,7.79*7.7*5.11,66,60,,"Crystal, Feather, Cloud, Cavity, Needle, Indented Natural, Natural"
F91104201,337816869,IGI,View Cert,ROUND,2,F,SI2,EX,EX,EX,NON,10500,-42,6090,12180,8.02*8.07*5.01,62.3,57,SEGOMA LINK,
F94104457,2304668435,GIA,View Cert,ROUND,2,G,VS1,VG,VG,VG,FNT,16000,-40,9600,19200,7.85*7.75*5.04,64.6,56,SEGOMA LINK,"Crystal, Feather, Cloud, Needle"
F103107446,1318567336,GIA,View Cert,ROUND,2,H,SI1,EX,EX,VG,FNT,11000,-33,7370,14740,8.04*7.98*5.05,63.1,55,SEGOMA LINK,"Crystal, Cloud, Feather, Indented Natural, Needle"
F91104161,337845456,IGI,View Cert,ROUND,2,H,SI2,EX,EX,VG,NON,9500,-47,5035,10070,8.05*8.12*4.91,60.7,59,SEGOMA LINK,
F89103996,1.90E+11,HRD,View Cert,ROUND,2,H,SI2,EX,EX,EX,NON,9500,-40,5700,11400,8.02*8.07*5.04,62.6,57,SEGOMA LINK,
F91104419,3315183327,GIA,View Cert,ROUND,2,I,VVS1,EX,EX,EX,NON,12500,-32,8500,17000,8.05*7.99*5,62.4,60,SEGOMA LINK,
F89104101,6305506085,GIA,View Cert,ROUND,2,I,VVS2,EX,EX,EX,NON,12000,-32,8160,16320,8.04*8*5.04,62.8,57,SEGOMA LINK,"Needle, Indented Natural, Natural"
F103107582,1313688000,GIA,View Cert,ROUND,2,J,SI2,EX,EX,EX,STG,7000,-34,4620,9240,8.18*8.13*4.87,59.7,61,SEGOMA LINK,"Feather, Crystal, Cloud, Cavity, Needle, Natural"
F114318608,6311367731,GIA,View Cert,EMERALD,2,E,IF,,EX,EX,NON,21000,-39,12810,25620,8.17*6.07*4.06,66.9,55,SEGOMA LINK,
F94303871,1303426763,GIA,View Cert,EMERALD,2,H,VS2,,EX,VG,NON,9500,-38,5890,11780,7.98*6.07*4.38,72.2,68,SEGOMA LINK,"Crystal, Feather"
F61329985,6295311141,GIA,View Cert,EMERALD,2,I,VVS1,,EX,VG,NON,8700,-45,4785,9570,7.72*5.93*4.47,75.3,69,SEGOMA LINK,"Pinpoint, Feather, Indented Natural"
F69331301,7296765739,GIA,View Cert,HEART,2,D,VS2,,EX,EX,NON,15500,-40,9300,18600,7.02*8.76*5.47,62.4,59,SEGOMA LINK,"Crystal, Feather, Needle"
G2300287,2318609877,GIA,View Cert,PEAR,2,I,VS2,,EX,VG,NON,7800,-19,6318,12636,10.85*7.11*4.3,60.5,60,SEGOMA LINK,"Feather, Indented Natural"
F89104755,3315745245,GIA,View Cert,ROUND,1.8,D,IF,EX,EX,EX,NON,26000,-23,20020,36036,7.82*7.77*4.8,61.5,61,SEGOMA LINK,
F103107533,3315569371,GIA,View Cert,ROUND,1.8,F,VS1,EX,EX,EX,NON,13100,-15,11135,20043,7.78*7.73*4.84,62.4,60,SEGOMA LINK,"Crystal, Feather, Cloud, Needle, Indented Natural, Natural"
F89104315,6301597568,GIA,View Cert,ROUND,1.71,D,FL,EX,EX,EX,NON,26000,-23,20020,34234.2,7.64*7.58*4.76,62.5,58,,
G2100294,6312624619,GIA,View Cert,ROUND,1.71,M,SI1,EX,EX,EX,STG,3800,-35,2470,4223.7,7.61*7.56*4.74,62.5,58,SEGOMA LINK,"Crystal, Cloud, Needle"
SPRL-413,341896094,IGI,View Cert,ROUND,1.7,H,VS1,EX,EX,EX,NONE,9800,-35,6370,10829,7.53*7.59*4.77,63.1,55,Image/Video,
SPRL-414,341896467,IGI,View Cert,ROUND,1.7,H,VS1,EX,EX,VG,NONE,9800,-35,6370,10829,7.53*7.60*4.74,62.6,57.5,Image/Video,
TI-1026,1182631582,GIA,View Cert,Heart,1.65,FancyYellow,VVS1,,EX,VG,N,3622.5,0,3622.5,5977.13,6.41x7.75x4.24,54.7,59,Image/Video,
G2100086,1313519382,GIA,View Cert,ROUND,1.65,K,SI2,EX,EX,EX,STG,4800,-34,3168,5227.2,7.55*7.52*4.73,62.8,57,SEGOMA LINK,"Crystal, Feather, Cloud, Needle"
F91104233,1305582582,GIA,View Cert,ROUND,1.61,E,IF,EX,EX,EX,NON,20800,-32,14144,22771.84,7.63*7.6*4.61,60.6,61,SEGOMA LINK,
F94104539,3305690369,GIA,View Cert,ROUND,1.61,E,VVS2,EX,EX,EX,FNT,15900,-36,10176,16383.36,7.47*7.42*4.67,62.8,58,SEGOMA LINK,"Cloud, Pinpoint, Indented Natural"
F82102779,7301191918,GIA,View Cert,ROUND,1.61,E,VVS2,EX,EX,EX,FNT,15900,-40,9540,15359.4,7.5*7.45*4.63,61.9,59,SEGOMA LINK,"Cloud, Pinpoint"
G2100291,2314624927,GIA,View Cert,ROUND,1.61,E,SI1,EX,EX,EX,STG,10500,-39,6405,10312.05,7.6*7.55*4.57,60.4,59,SEGOMA LINK,Crystal
F82101471,7301029722,GIA,View Cert,ROUND,1.61,F,SI1,EX,EX,EX,FNT,10000,-36,6400,10304,7.46*7.42*4.67,62.8,56,SEGOMA LINK,"Crystal, Feather, Cloud, Cavity, Needle, Natural"
F71131359,332805917,IGI,View Cert,ROUND,1.61,G,SI2,EX,EX,EX,NON,7500,-46,4050,6520.5,7.44*7.5*4.65,62.3,57.5,SEGOMA LINK,
JD-V-3,7308951733,GIA,View Cert,ROUND,1.6,G,VS2,EX,EX,EX,NONE,10800,-36,6912,11059.2,7.41*7.44*4.69,63.2,56,Image/Video,
F50A128101,7293048032,GIA,View Cert,ROUND,1.6,F,VS1,EX,EX,EX,NON,13100,-33,8777,14043.2,7.46*7.44*4.64,62.3,60,SEGOMA LINK,"CRYSTAL, FEATHER, CLOUD, INDENTED NATURAL"
F103A107550,2317607702,GIA,View Cert,ROUND,1.6,F,SI2,EX,EX,EX,NON,8000,-25,6000,9600,7.57*7.52*4.55,60.3,61,SEGOMA LINK,"Cloud, Knot, Feather, Needle"
F91104113,1308508824,GIA,View Cert,ROUND,1.6,G,SI1,EX,EX,EX,NON,9500,-36,6080,9728,7.56*7.51*4.57,60.7,59,SEGOMA LINK,"Crystal, Feather, Cloud, Needle"
F94104026,6301494048,GIA,View Cert,ROUND,1.6,J,VS2,EX,EX,EX,NON,6600,-29,4686,7497.6,7.46*7.42*4.66,62.6,58,SEGOMA LINK,"Crystal, Natural"
F103A107545,1319646702,GIA,View Cert,ROUND,1.6,J,SI2,EX,EX,EX,MED,5600,-28,4032,6451.2,7.53*7.48*4.56,60.8,61,SEGOMA LINK,"Crystal, Feather, Needle, Indented Natural, Natural"
TI-1027,6222107573,GIA,View Cert,Radiant,1.59,FancyYellow,IF,,EX,G,M,3780,0,3780,6010.2,6.68x6.19x4.24,68.5,58,Image/Video,
G3300241,1317612161,GIA,View Cert,EMERALD,1.56,D,IF,,EX,VG,VST,17000,-48,8840,13790.4,7.63*5.37*3.54,65.9,63,,
G2100120,6315607880,GIA,View Cert,ROUND,1.55,I,SI2,VG,EX,VG,STG,6400,-39,3904,6051.2,7.26*7.16*4.66,64.6,55,SEGOMA LINK,"Crystal, Feather, Cavity, Needle, Cloud, Natural"
F82101549,1298998185,GIA,View Cert,ROUND,1.53,E,VS1,VG,EX,VG,NON,14900,-41,8791,13450.23,7.23*7.13*4.64,64.6,56,SEGOMA LINK,"Cloud, Crystal, Feather, Pinpoint"
G20100698,1319816922,GIA,View Cert,ROUND,1.53,J,SI1,EX,EX,EX,MED,6200,-33,4154,6355.62,7.34*7.29*4.58,62.6,56,,"Crystal, Needle"
F78A131306,6291756040,GIA,View Cert,ROUND,1.53,F,VS1,VG,VG,EX,NON,13100,-39,7991,12226.23,7.22*7.15*4.6,63.9,58,SEGOMA LINK,"Cloud, Feather, Needle"
F103107433,7316474695,GIA,View Cert,ROUND,1.53,G,VVS1,EX,EX,EX,FNT,13600,-36,8704,13317.12,7.47*7.43*4.51,60.5,60,SEGOMA LINK,Pinpoint
G2100342,6312624886,GIA,View Cert,ROUND,1.53,M,VS2,VG,EX,EX,STG,4000,-37,2520,3855.6,7.22*7.16*4.66,64.8,57,,"Cloud, Crystal"
F94A104155,2307523876,GIA,View Cert,ROUND,1.52,E,SI2,GD,EX,VG,NON,8500,-45,4675,7106,7.06*6.98*4.64,66.1,59,,"Crystal, Cloud, Feather, Needle"
F94104118,7303508813,GIA,View Cert,ROUND,1.52,F,VS1,VG,EX,VG,NON,13100,-38,8122,12345.44,7.22*7.12*4.66,65,56,,"Crystal, Cloud, Needle, Natural, Extra Facet"
G2100339,1315625095,GIA,View Cert,ROUND,1.52,J,VS1,EX,EX,EX,NON,7000,-29,4970,7554.4,7.35*7.3*4.59,62.6,59,SEGOMA LINK,Feather
TI-1009,2181631496,GIA,View Cert,Cushion Modified,1.51,Fancy IntenseYellow,VS2,,VG,VG,N,5670,0,5670,8561.7,6.45x5.77x4.20,72.7,58,Image/Video,
LP-3,2317448806,GIA,View Cert,PEAR,1.51,E,SI2,,EX,VG,NONE,6900,-30,4830,7293.3,9.52*6.38*4.02,63.1,58,Image/Video,
ND-AD-1141,2317461219,GIA,View Cert,CUSHION,1.51,FANCY INTENSE YELLOW,VVS2,,EX,VG,FAINT,5600,0,5600,8456,6.27*5.98*4.15,69.5,56,Image/Video,
G2100278,6311624853,GIA,View Cert,ROUND,1.51,L,SI2,EX,EX,EX,STG,4100,-34,2706,4086.06,7.42*7.37*4.46,60.3,59,SEGOMA LINK,"Feather, Pinpoint"
F71131362,1295868138,GIA,View Cert,ROUND,1.51,D,SI1,VG,GD,GD,STG,10800,-50,5400,8154,7.26*7.17*4.54,63,58,SEGOMA LINK,"Twinning Wisp, Feather, Indented Natural"
F94A104709,3305742159,GIA,View Cert,ROUND,1.51,E,SI1,VG,EX,VG,NON,10500,-39,6405,9671.55,7.2*7.1*4.61,64.5,56,SEGOMA LINK,"Crystal, Feather, Pinpoint, Natural"
F94A104557,2316343622,GIA,View Cert,ROUND,1.51,E,SI2,VG,EX,VG,NON,8500,-35,5525,8342.75,7.17*7.07*4.59,64.5,57,SEGOMA LINK,"Crystal, Feather, Cloud, Needle, Natural"
F89104194,1308567246,GIA,View Cert,ROUND,1.51,E,I1,EX,EX,EX,NON,5100,-35,3315,5005.65,7.36*7.31*4.57,62.2,55,SEGOMA LINK,"Crystal, Feather, Needle"
F110A106679,7316162062,GIA,View Cert,ROUND,1.51,G,SI1,EX,EX,EX,NON,9500,-29,6745,10184.95,7.46*7.43*4.46,60,59,SEGOMA LINK,"Cloud, Crystal, Needle, Indented Natural"
G2100157,2317536058,GIA,View Cert,ROUND,1.51,I,VS1,VG,VG,VG,NON,8200,-33,5494,8295.94,7.28*7.19*4.54,62.8,62,SEGOMA LINK,"Feather, Needle, Pinpoint"
G1300079,6312518483,GIA,View Cert,PEAR,1.51,E,SI2,,VG,VG,STG,6900,-34,4554,6876.54,10.23*6.32*3.9,61.7,60,SEGOMA LINK,"Twinning Wisp, Feather, Cavity"
F24322402,6285101451,GIA,View Cert,CUSHION MOD.,1.51,D,SI1,,EX,VG,FNT,8900,-48,4628,6988.28,6.54*6.2*4.25,68.4,68,SEGOMA LINK,"CRYSTAL, FEATHER, CAVITY, NEEDLE, NATURAL"
TI-1011,2181631563,GIA,View Cert,Cushion Modified,1.5,Fancy LightYellow,VS1,,VG,VG,N,2205,0,2205,3307.5,6.31x6.06x4.25,70,60,Image/Video,
JD-Y-6,341808241,IGI,View Cert,ROUND,1.5,M,VS1,VG,EX,VG,STRONG,4200,-37,2646,3969,7.55-7.61x4.23,55.7,65,Image/Video,
RD-65-2,1318682056,GIA,View Cert,OVAL,1.5,E,SI1,,EX,VG,NONE,8700,-31,6003,9004.5,8.87*6.24*3.84,61.5,57,Image/Video,
F94104507,1308655086,GIA,View Cert,ROUND,1.5,E,VVS1,VG,EX,GD,STG,18600,-51,9114,13671,7.32*7.18*4.45,61.4,64,SEGOMA LINK,Feather
G18100669,7312806917,GIA,View Cert,ROUND,1.5,E,SI2,EX,EX,EX,STG,8500,-40,5100,7650,7.44*7.39*4.44,60,59,SEGOMA LINK,"Crystal, Pinpoint"
F103107566,5316639353,GIA,View Cert,ROUND,1.5,H,SI2,EX,EX,EX,NON,7100,-26,5254,7881,7.36*7.32*4.52,61.6,59,SEGOMA LINK,"Crystal, Cloud, Feather, Needle, Natural"
F103A107490,3315536090,GIA,View Cert,ROUND,1.5,D,VVS2,EX,EX,EX,MED,17800,-47,9434,14151,7.33*7.28*4.55,62.4,59,SEGOMA LINK,Pinpoint
F103107539,7312569152,GIA,View Cert,ROUND,1.5,D,VS2,VG,VG,VG,STG,14200,-49,7242,10863,7.23*7.16*4.49,62.4,60,SEGOMA LINK,"Crystal, Feather, Needle, Indented Natural, Natural"
F94103870,6301422614,GIA,View Cert,ROUND,1.5,D,SI1,VG,EX,VG,NON,10800,-36,6912,10368,7.14*7.06*4.59,64.7,57,SEGOMA LINK,"Cloud, Needle, Indented Natural, Natural"
F61128675,2297080238,GIA,View Cert,ROUND,1.5,D,SI1,GD,VG,GD,MED,10800,-52,5184,7776,7.14*7.06*4.54,63.9,57,SEGOMA LINK,"CRYSTAL, FEATHER, CAVITY, INDENTED NATURAL"
G2100259,5316569854,GIA,View Cert,ROUND,1.5,D,SI2,VG,EX,VG,FNT,8800,-40,5280,7920,7.19*7.13*4.57,63.8,59,SEGOMA LINK,"Crystal, Feather, Needle, Natural"
F82102161,1303083746,GIA,View Cert,ROUND,1.5,E,VS1,VG,VG,VG,NON,14900,-43,8493,12739.5,7.13*7.07*4.57,64.4,57,SEGOMA LINK,"Cloud, Feather, Pinpoint, Natural"
G4B100238,2314568923,GIA,View Cert,ROUND,1.5,E,VS2,EX,EX,EX,NON,13100,-32,8908,13362,7.32*7.27*4.51,61.8,59,SEGOMA LINK,"Cloud, Feather, Crystal, Needle, Natural"
F82101617,5306029679,GIA,View Cert,ROUND,1.5,E,SI1,GD,EX,VG,NON,10500,-45,5775,8662.5,7.11*7*4.57,64.7,60,SEGOMA LINK,"Crystal, Feather, Natural"
F94A105119,5303825319,GIA,View Cert,ROUND,1.5,E,SI2,VG,EX,VG,NON,8500,-35,5525,8287.5,7.16*7.07*4.61,64.7,56,SEGOMA LINK,"Crystal, Feather, Needle, Indented Natural, Natural"
F94104003,5306494554,GIA,View Cert,ROUND,1.5,F,VS1,VG,EX,VG,NON,13100,-38,8122,12183,7.18*7.12*4.59,64.1,57,SEGOMA LINK,"Crystal, Cloud, Needle"
F103A107474,19000786001,HRD,View Cert,ROUND,1.5,F,SI2,EX,EX,EX,NON,8000,-30,5600,8400,7.28*7.24*4.59,63.2,56,,
F103107573,6315665555,GIA,View Cert,ROUND,1.5,H,I1,EX,EX,EX,FNT,4700,-35,3055,4582.5,7.31*7.26*4.54,62.4,59,SEGOMA LINK,"Crystal, Feather, Cavity, Needle"
F94B105722,7306971142,GIA,View Cert,ROUND,1.5,I,VVS1,EX,EX,EX,NON,9000,-31,6210,9315,7.47*7.45*4.4,59,61,SEGOMA LINK,Feather
F94B105146,350881464,IGI,View Cert,ROUND,1.5,I,SI1,VG,EX,GD,NON,7500,-39,4575,6862.5,7.11*7.24*4.52,62.8,56,SEGOMA LINK,
G2100252,6315624609,GIA,View Cert,ROUND,1.5,I,SI2,VG,VG,GD,NON,6400,-32,4352,6528,7.24*7.15*4.63,64.3,59,SEGOMA LINK,"Feather, Cavity, Indented Natural, Natural"
G2100348,2316646294,GIA,View Cert,ROUND,1.5,L,VS1,VG,EX,VG,STG,4900,-36,3136,4704,7.13*7.04*4.59,64.7,58,,"Feather, Cloud, Indented Natural, Natural"
